Jenis_Kelamin,Program_Studi,Mendukung,Tipe,Brand,Harga,Waktu_Belajar,Nilai_IPS
Perempuan,Teknologi Sains Data,Ya,Notebook / Notebook Touchscreen,Hp,12600000,5,3.84
Laki-laki,Teknik Elektro,Ya,Notebook / Notebook Touchscreen,lainnya,8000000,1,3.42
Perempuan,Teknologi Sains Data,Ya,Laptop Gaming,Lenovo,10000000,6,3.6
Laki-laki,Teknologi Sains Data,Ya,Laptop Gaming,Lenovo,16500000,2,3.79
Perempuan,Teknologi Sains Data,Ya,Notebook / Notebook Touchscreen,ASUS,8000000,4,3.66
Laki-laki,Teknologi Sains Data,Ya,Notebook / Notebook Touchscreen,lainnya,7000000,6,3.3
Perempuan,Teknologi Sains Data,Ya,Laptop Gaming,Msi,14000000,4,3.79
Perempuan,Teknologi Sains Data,Ya,Laptop Gaming,ASUS,15000000,3,3.74
Perempuan,Teknologi Sains Data,Ya,Notebook / Notebook Touchscreen,lainnya,5000000,5,3.59
Perempuan,Teknologi Sains Data,Ya,Notebook / Notebook Touchscreen,Macbook,27000000,12,3.7
Laki-laki,Teknologi Sains Data,Ya,Notebook / Notebook Touchscreen,Lenovo,8500000,8,3.84
Perempuan,Teknologi Sains Data,Ya,Notebook / Notebook Touchscreen,lainnya,4500000,6,3.3
Laki-laki,Teknologi Sains Data,Ya,Laptop Gaming,Lenovo,8000000,3,3.79
Perempuan,Teknologi Sains Data,Ya,Notebook / Notebook Touchscreen,ASUS,12000000,5,3.95
Laki-laki,Teknologi Sains Data,Ya,Notebook / Notebook Touchscreen,Hp,6000000,2,3.6
Laki-laki,Teknologi Sains Data,Tidak,Notebook / Notebook Touchscreen,lainnya,5000000,4,3.5
Perempuan,Teknologi Sains Data,Ya,Notebook / Notebook Touchscreen,lainnya,7000000,4,3.84
Laki-laki,Teknologi Sains Data,Ya,Notebook / Notebook Touchscreen,ASUS,8500000,10,3.61
Perempuan,Teknologi Sains Data,Ya,Notebook / Notebook Touchscreen,Hp,9500000,4,3.42
Laki-laki,Teknologi Sains Data,Ya,Laptop Gaming,ASUS,25000000,5,3.18
Perempuan,Teknologi Sains Data,Ya,Notebook / Notebook Touchscreen,Hp,15000000,5,3.4
Laki-laki,Rekayasa Nanoteknologi,Ya,Laptop Gaming,lainnya,8000000,8,3.89
Laki-laki,Teknologi Sains Data,Ya,Notebook / Notebook Touchscreen,ASUS,7000000,4,3.37
